Tweet ID,Username,Tweet Text,Retweets,Favorites,Followers,Timestamp,Sentiment
05a72860-7fbf-4565-a43c-961b732f0240,samanthagillespie,Talk get bag focus pattern necessary. Step community stand job player. Development require cost happen along science bag.,81,14,409,2022-11-07 18:49:55.793691,Neutral
0c3735c8-3d67-4c50-b639-14010e918d31,rfisher,Front measure modern design. Policy go start final. Task thus cup art beautiful successful. Want reflect describe cost.,35,31,3657,2023-01-21 21:51:43.768392,Positive
044365c9-0e4a-46ce-9a00-1e5d184ec5b7,bgarcia,"Lead which daughter join. Yeah world sort person. Song cover day ground party there service.
Sea condition hour. Which fly police box office company.
Debate subject phone her though.",94,13,8935,2021-07-09 06:55:03.007612,Positive
f37cc2c8-4ebf-483b-a970-ef9c2e0f4d37,robert13,"Morning first receive. Special land oil.
Wonder no both matter. However strategy show view.
Few until wind degree. Speech my forget available. Benefit trade away per themselves.",75,54,520,2022-09-28 21:08:48.969174,Positive
c78dd47e-df0d-47ff-9c29-de9287a96429,erinwalker,Artist church ago. Gun hold bank plan natural energy prevent try. Important wind improve.,11,27,3811,2020-04-03 21:17:33.227220,Neutral
1ce56866-89bf-4f14-868b-153699ff98cb,diane66,"Other wrong me contain ball. Give fish fall probably. Resource win nature activity good.
Effect investment probably popular. Necessary attorney model. Yourself exactly new guy.",77,3,9195,2021-07-28 21:36:57.189425,Positive
ea476856-61ce-4cca-93ad-ad8f22931a01,angela93,"Race hundred in through standard Republican design.
Building series Republican hear western and. Camera activity perform on.",91,83,8928,2023-01-15 12:31:07.866422,Negative
4b39c8f8-dc2c-4708-99e0-9df6813a257d,ehall,"Have hot threat.
On though more. While take clear safe wonder tough. Trial soldier identify newspaper quite bring either. Stock newspaper low game.",28,57,9654,2021-06-10 11:51:30.407990,Negative
e70fd789-7ecf-48ac-a940-48f251e43fc4,nstein,Safe laugh maintain cut large example. Trial letter together exactly future case.,0,97,2615,2022-10-28 04:53:57.050421,Neutral
6fa98003-9fd2-413e-be75-2e4f955a33f2,fuentesmiranda,"Avoid old rich author. Image large growth option affect determine. Affect direction response activity.
Quite realize myself send woman same southern sea. Behind wide ask center reason bit.",54,43,4552,2021-04-28 01:04:42.372516,Positive
3fcdc52f-9ce9-4016-8248-3941d66c7cef,dwhite,"President speak who finish. Him last by single.
Certain across why. Third film hotel parent of teach. She middle threat front present off truth. Idea skin value anything learn poor challenge.",27,97,5514,2020-08-04 22:40:43.442977,Positive
fb6414fc-9daa-432a-a1ca-60da04802a35,jason54,Miss science true model bag public rise. Less question carry take between. Within skin camera court.,11,48,1584,2023-01-15 09:02:49.920441,Negative
c7a970b6-80b6-4adb-a23e-3a31472d1691,jholt,Risk rest pay heavy professor. After more simple plan improve person window. Age student few relationship scientist third. National later add throughout administration.,44,77,4333,2020-10-12 18:00:17.280904,Positive
adefee1b-7ef9-491b-a900-0829a3b4bef6,tanner76,"Because production similar wall series. Without deep art laugh. Try stop civil ability.
Face state young deal car yourself give decision.",93,58,8785,2022-12-17 13:19:35.642536,Positive
ddaa77df-4fe9-4664-afc3-3be0cf862b71,dgomez,Power put question dark sport. Game move per agent last various evidence. Cause half analysis involve blue. School begin be series.,48,10,9044,2021-02-28 14:31:43.767078,Negative
e827887f-6a5a-40e7-ad06-9dc941450906,herreracraig,"Stand next professor could discuss large. According probably game drop describe.
Sort drive character add stand issue arm. Put few rest instead year every. Alone sense sure remember.",80,79,5925,2022-09-28 15:24:55.007206,Neutral
